Item	#	Income	Cost	Profit
 1	1	0.00	0.00	0.00
 2	9	31.50	72.00	-40.50
 3	4	14.00	32.00	-18.00
 4	6	9.00	30.00	-21.00
 5	10	15.00	50.00	-35.00
 6	9	13.50	45.00	-31.50
 7	9	13.50	45.00	-31.50
 8	12	6.00	30.00	-24.00
 9	12	7.20	30.00	-22.80
10	14	9.80	35.00	-25.20
11	14	14.00	49.00	-35.00
12	15	16.50	52.50	-36.00
13	16	19.20	56.00	-36.80
14	16	19.20	56.00	-36.80
15	17	8.50	51.00	-42.50
16	18	10.80	54.00	-43.20
17	16	11.20	48.00	-36.80
18	19	19.00	76.00	-57.00
19	17	18.70	68.00	-49.30
20	20	24.00	80.00	-56.00
21	23	57.50	195.50	-138.00
22	24	60.00	204.00	-144.00
23	25	62.50	212.50	-150.00
24	22	55.00	187.00	-132.00
25	24	60.00	204.00	-144.00
26	27	72.90	256.50	-183.60
27	27	72.90	256.50	-183.60
28	26	70.20	247.00	-176.80
29	31	83.70	294.50	-210.80
30	32	86.40	304.00	-217.60
31	1	2.90	9.50	-6.60
32	30	105.00	240.00	-135.00
33	32	112.00	256.00	-144.00
34	34	51.00	170.00	-119.00
35	32	48.00	160.00	-112.00
36	36	54.00	180.00	-126.00
37	34	51.00	170.00	-119.00
38	36	63.00	216.00	-153.00
39	36	63.00	216.00	-153.00
40	36	63.00	216.00	-153.00
41	40	60.00	300.00	-240.00
42	40	60.00	300.00	-240.00
43	41	61.50	307.50	-246.00
44	42	63.00	315.00	-252.00
45	42	63.00	315.00	-252.00
46	43	124.70	408.50	-283.80
47	44	127.60	418.00	-290.40
48	45	130.50	427.50	-297.00
49	48	139.20	456.00	-316.80
50	53	153.70	503.50	-349.80
51	47	70.50	352.50	-282.00
