Item	#	Income	Cost	Profit
01	35.00	8.00	27.00
02	17.50	8.00	0.00
03	12.00	5.00	7.00
04	16.50	5.00	23.00
05	13.50	5.00	8.50
06	18.00	5.00	13.00
07	6.50	2.50	0.00
08	8.40	2.50	0.00
09	10.50	2.50	8.00
10	17.00	3.50	0.00
11	15.40	3.50	0.00
12	20.40	3.50	33.80
13	22.80	3.50	38.60
14	8.50	3.00	0.00
15	12.00	3.00	9.00
16	12.60	3.00	0.00
17	22.00	4.00	18.00
18	26.40	4.00	44.80
19	31.20	4.00	27.20
20	60.00	8.50	103.00
21	62.50	8.50	0.00
22	72.50	8.50	128.00
23	65.00	8.50	0.00
24	77.50	8.50	0.00
25	18.90	9.50	9.40
26	72.90	9.50	0.00
27	83.70	9.50	74.20
28	91.80	9.50	164.60
29	89.10	9.50	79.60
30	104.40	9.50	0.00
31	122.50	8.00	0.00
32	129.50	8.00	121.50
33	54.00	5.00	49.00
34	60.00	5.00	0.00
35	60.00	5.00	55.00
36	61.50	5.00	56.50
37	75.25	6.00	69.25
38	75.25	6.00	0.00
39	80.50	6.00	74.50
40	66.00	7.50	0.00
41	69.00	7.50	0.00
42	79.50	7.50	144.00
43	72.00	7.50	129.00
44	70.50	7.50	0.00
45	145.00	9.50	135.50
46	156.60	9.50	441.30
47	147.90	9.50	0.00
48	150.80	9.50	141.30
49	162.40	9.50	0.00
50	6.00	7.50	-1.50
51	0.00	7442386712859940896067811278848.00	inf
