Item	#	Income	Cost	Profit
 0	0	  0.00	  0.00	  0.00
 1	0	  0.00	  0.00	  0.00
 2	0	  0.00	  0.00	  0.00
 3	0	  0.00	  0.00	  0.00
 4	2	  0.00	 16.00	-16.00
 5	0	  0.00	  0.00	  0.00
 6	0	  0.00	  0.00	  0.00
 7	0	  0.00	  0.00	  0.00
 8	2	  0.00	 10.00	-10.00
 9	0	  0.00	  0.00	  0.00
10	2	  0.00	 10.00	-10.00
11	0	  0.00	  0.00	  0.00
12	2	  0.00	 10.00	-10.00
13	2	  0.00	  3.00	 -3.00
14	0	  0.00	  0.00	  0.00
15	2	  0.00	  3.00	 -3.00
16	0	  0.00	  0.00	  0.00
17	2	  0.00	  1.00	 -1.00
18	0	  0.00	  0.00	  0.00
19	2	  0.00	  1.20	 -1.20
20	0	  0.00	  0.00	  0.00
21	0	  0.00	  0.00	  0.00
22	0	  0.00	  0.00	  0.00
23	0	  0.00	  0.00	  0.00
24	4	  0.00	 14.00	-14.00
25	0	  0.00	  0.00	  0.00
26	0	  0.00	  0.00	  0.00
27	0	  0.00	  0.00	  0.00
28	0	  0.00	  0.00	  0.00
29	2	  0.00	  2.40	 -2.40
30	2	  0.00	  6.00	 -6.00
31	0	  0.00	  0.00	  0.00
32	0	  0.00	  0.00	  0.00
33	0	  0.00	  0.00	  0.00
34	2	  0.00	  6.00	 -6.00
35	0	  0.00	  0.00	  0.00
36	2	  0.00	  8.00	 -8.00
37	0	  0.00	  0.00	  0.00
38	2	  0.00	  8.00	 -8.00
39	2	  0.00	  2.20	 -2.20
40	0	  0.00	  0.00	  0.00
41	2	  0.00	  2.40	 -2.40
42	4	  0.00	 34.00	-34.00
43	2	  0.00	  5.00	 -5.00
44	0	  0.00	  0.00	  0.00
45	2	  0.00	  5.00	 -5.00
46	0	  0.00	  0.00	  0.00
47	0	  0.00	  0.00	  0.00
48	2	  0.00	 17.00	-17.00
49	0	  0.00	  0.00	  0.00
50	0	  0.00	  0.00	  0.00
